School Name TDSB 		LC	LN	HEPA Filters	School.NameON	Board.Name	School Number	City	Street	Lat	Long	MM	match
Humbercrest Public School	partial mechanical	4	20	Yes	Humbercrest Public School	Toronto DSB	270474	Toronto	14 Saint Marks Rd	43.6606452	-79.49110735	2	TRUE
Parkdale Collegiate  Institute	all mechanical	4	19	No	Parkdale Collegiate Institute	Toronto DSB	933759	Toronto	209 Jameson Ave	43.6394906	-79.43538339	2	FALSE
Runnymede Collegiate Institute	all mechanical	4	20	No	Runnymede Collegiate Institute	Toronto DSB	939609	Toronto	569 Jane St	43.6635238	-79.48945928	2	TRUE
Allenby Junior Public School	partial mechanical	1	6	Yes	Allenby Junior Public School	Toronto DSB	13200	Toronto	391 St Clements Ave	43.70964215	-79.4120585	2	TRUE
Armour Heights Public School	no mechanical	1	6	Yes	Armour Heights Public School	Toronto DSB	20745	Toronto	148 Wilson Ave	43.7415078	-79.41982656	2	TRUE
Baycrest Public School	no mechanical	1	4	Yes	Baycrest Public School	Toronto DSB	35173	Toronto	145 Baycrest Ave	43.72638025	-79.44374547	2	TRUE
Cedarvale Community School	partial mechanical	1	6	Yes	Cedarvale Community School	Toronto DSB	90034	Toronto	145 Ava Rd	43.69579685	-79.43041939	2	TRUE
Fairbank Public School	all mechanical	1	4	No	Fairbank Public School	Toronto DSB	190918	Toronto	2335 Dufferin St	43.6943468	-79.44873775	2	TRUE
Flemington  Public School	partial mechanical	1	4	Yes	Flemington Public School	Toronto DSB	198846	Toronto	10 Flemington Rd	43.72023965	-79.44403604	2	FALSE
Glen Park Public School	all mechanical	1	4	No	Glen Park Public School	Toronto DSB	217697	Toronto	101 Englemount Ave	43.7134685	-79.4351637	2	TRUE
Hillcrest Community School	all mechanical	1	5	No	Hillcrest Community School	Toronto DSB	257214	Toronto	44 Hilton Ave	43.67928755	-79.41608727	2	TRUE
Humewood Community  School	all mechanical	1	5	No	Humewood Community School	Toronto DSB	270997	Toronto	15 Cherrywood Ave	43.686851	-79.42811089	2	FALSE
J.R. Wilcox Community School	partial mechanical	1	1	Yes	J R Wilcox Community School	Toronto DSB	284645	Toronto	231 Ava Rd	43.6946756	-79.43629532	2	FALSE
Joyce Public School	partial mechanical	1	4	Yes	Joyce Public School	Toronto DSB	286206	Toronto	26 Joyce Pkwy	43.71086745	-79.46416223	2	TRUE
Lawrence Heights Middle School	partial mechanical	1	4	Yes	Lawrence Heights Middle School	Toronto DSB	310255	Toronto	50 Highland Hill	43.7204207	-79.45165391	2	TRUE
Yorkdale Secondary School	partial mechanical	1	4	Yes	Yorkdale Secondary School	Toronto DSB	954942	Toronto	38 Orfus Rd	43.7201057	-79.46001427	2	TRUE
Bloor Collegiate Institute	all mechanical	4	21	No	Bloor Collegiate Institute	Toronto DSB	895407	Toronto	1141 Bloor St W	43.6592993	-79.4364792	2	TRUE
Brock Public School	partial mechanical	4	21	Yes	Brock Public School	Toronto DSB	64424	Toronto	93 Margueretta St	43.65330215	-79.43759534	2	TRUE
Dovercourt  Public School	partial mechanical	4	21	Yes	Dovercourt Public School	Toronto DSB	145548	Toronto	228 Bartlett Ave	43.6673075	-79.43638513	2	FALSE
Oakwood Collegiate Institute	all mechanical	4	20	No	Oakwood Collegiate Institute	Toronto DSB	932191	Toronto	991 St Clair Ave W	43.67835635	-79.4366979	2	TRUE
Ogden Junior Public School	all mechanical	4	22	No	Ogden Junior Public School	Toronto DSB	415812	Toronto	33 Phoebe St	43.64998135	-79.39547932	2	TRUE
Pauline Junior Public School	all mechanical	4	21	No	Pauline Junior Public School	Toronto DSB	437522	Toronto	100 Pauline Ave	43.6626576	-79.43922706	2	TRUE
Rawlinson Community School	partial mechanical	4	20	Yes	Rawlinson Community School	Toronto DSB	476390	Toronto	231 Glenholme Ave	43.6839396	-79.43957196	2	TRUE
The Waterfront  School	all mechanical	4	22	No	The Waterfront School	Toronto DSB	555169	Toronto	635 Queen's Quay W	43.63582645	-79.39723194	2	FALSE
Central Technical School	all mechanical	4	21	No	Central Technical School	Toronto DSB	900087	Toronto	725 Bathurst St	43.66291795	-79.40889864	2	TRUE
Central Toronto Academy	all mechanical	4	21	No	Central Toronto Academy	Toronto DSB	899437	Toronto	570 Shaw St	43.6575014	-79.42194764	2	TRUE
